SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,cX,cY
subImage_3,lightHole,0,1492,0.096682705,0.13052917,0.13494785,0.15383366,29.76452648,1598.067333
subImage_3,darkHole,0,1492,0.86444753,0.66688544,0.89828116,0.6851946,226.5106368,1996.325858
subImage_3,darkHole,0,1492,0.39765713,0.17944668,0.43772218,0.1973993,107.3462404,1632.563553
subImage_3,lightHole,0,1492,0.100910105,0.67165977,0.14377838,0.6968535,31.44247078,2002.455456
subImage_3,lightHole,0,1492,0.25082994,0.37771055,0.2860163,0.39971828,68.98473933,1781.980956
subImage_3,darkHole,0,1492,0.85151476,0.22271255,0.8961713,0.24565057,224.5776547,1666.699444
subImage_3,darkHole,0,1492,0.4035654,0.475444,0.44469193,0.49475178,109.0010673,1853.883022
subImage_3,darkHole,0,1492,0.72107226,0.91481686,0.7544236,0.9376671,189.6012199,2182.976505
subImage_3,lightHole,0,1492,0.09253544,0.081195585,0.13365823,0.10562015,29.0658871,1561.682271
subImage_3,darkHole,0,1492,0.7141398,0.5710782,0.74997824,0.5965407,188.1391712,1927.521839
subImage_3,darkHole,0,1492,0.85665977,0.6172101,0.89689493,0.63873947,225.3317792,1960.469185
subImage_3,darkHole,0,1492,0.8474947,0.4665497,0.89443445,0.48913652,223.8378988,1848.470957
subImage_3,darkHole,0,1492,0.4120061,0.9142529,0.4503998,0.9365449,110.8191577,2182.347569
subImage_3,lightHole,0,1492,0.25114956,0.27965692,0.28258467,0.30041346,68.58484884,1708.36625
subImage_3,lightHole,0,1492,0.09280041,0.032295994,0.1433153,0.059469476,30.3408686,1526.228521
subImage_3,darkHole,0,1492,0.55793965,0.27398667,0.5989948,0.2977158,148.6660756,1705.245025
subImage_3,darkHole,0,1492,0.5629459,0.8657184,0.5987373,0.8870239,149.2762914,2145.772897
subImage_3,darkHole,0,1492,0.85721326,0.32213545,0.8929172,0.34392372,224.891766,1740.440069
subImage_3,darkHole,0,1492,0.85586315,0.42058393,0.90030915,0.4420261,225.6681405,1813.753546
subImage_3,darkHole,0,1492,0.7003658,0.17713042,0.73696786,0.20019895,184.6973732,1632.743853
subImage_3,darkHole,0,1492,0.7068283,0.22935735,0.7405478,0.24914968,185.9878253,1670.483121
subImage_3,lightHole,0,1492,0.24650331,0.3264567,0.28122604,0.34981385,67.81322113,1744.248913
subImage_3,darkHole,0,1492,0.3996512,0.07962911,0.4388781,0.102322295,107.7510136,1559.867874
subImage_3,lightHole,0,1492,0.100822724,0.57280284,0.14692913,0.59922624,31.83611329,1929.166846
subImage_3,darkHole,0,1492,0.4015123,0.12886895,0.43816036,0.15008391,107.8979362,1596.049419
subImage_3,lightHole,0,1492,0.253132,0.6225494,0.28276882,0.6459034,68.86325298,1965.132903
subImage_3,lightHole,0,1492,0.09470448,0.22934493,0.13340285,0.2521538,29.31179231,1671.599033
subImage_3,darkHole,0,1492,0.5615943,0.5692683,0.6027415,0.5927064,149.6171487,1925.416551
subImage_3,lightHole,0,1492,0.24669704,0.1785858,0.28609934,0.20252259,68.4643352,1634.153429
subImage_3,lightHole,0,1492,0.24671848,0.23037618,0.27636713,0.2516866,67.21650077,1671.809419
subImage_3,lightHole,0,1492,0.106031306,0.7710061,0.14770164,0.79484916,32.60468305,2076.064014
subImage_3,darkHole,0,1492,0.5599571,0.7167199,0.59969586,0.7394887,149.0154039,2035.165825
subImage_3,darkHole,0,1492,0.71715474,0.769606,0.7573301,0.7899041,189.4713046,2073.697272
subImage_3,darkHole,0,1492,0.5537761,0.078494176,0.5881469,0.09932061,146.7371068,1558.324916
subImage_3,lightHole,0,1492,0.55910134,0.6201026,0.59477574,0.6403511,148.2732047,1962.14923
subImage_3,darkHole,0,1492,0.40659007,0.5222159,0.4365505,0.5461796,108.3435635,1890.51152
subImage_3,darkHole,0,1492,0.7071182,0.37212273,0.74454033,0.3974,186.5381233,1779.031977
subImage_3,darkHole,0,1492,0.86157686,0.3716165,0.8986816,0.39244756,226.1932091,1776.995899
subImage_3,lightHole,0,1492,0.10551519,0.8197742,0.14234167,0.84189844,31.84960688,2111.803899
subImage_3,lightHole,0,1492,0.10488353,0.7212849,0.14565197,0.74492985,32.19381118,2038.898111
subImage_3,lightHole,0,1492,0.09705356,0.18024504,0.14127871,0.20374098,30.6256969,1635.226788
subImage_3,darkHole,0,1492,0.8670971,0.7658659,0.8988604,0.78606147,226.9255355,2070.868916
subImage_3,lightHole,0,1492,0.24372593,0.08070511,0.27812,0.10496112,67.05720288,1561.253505
subImage_3,darkHole,0,1492,0.8654858,0.8156218,0.905108,0.83830947,227.5212985,2108.91636
subImage_3,darkHole,0,1492,0.39963087,0.22778104,0.43758202,0.25025958,107.5818564,1670.309152
subImage_3,darkHole,0,1492,0.40709934,0.7188543,0.44837496,0.74242276,109.9284467,2037.056346
subImage_3,darkHole,0,1492,0.86275446,0.7162463,0.91323537,0.74274844,228.2146932,2036.20504
subImage_3,lightHole,0,1492,0.10446658,0.91806793,0.14349772,0.9419156,31.86341258,2185.773847
subImage_3,lightHole,0,1492,0.10393864,0.52519995,0.14363074,0.5463908,31.81266561,1891.703339
subImage_3,lightHole,0,1492,0.10897971,0.86955625,0.14633349,0.8922572,32.80774559,2149.156421
subImage_3,lightHole,0,1492,0.10142977,0.3284406,0.14018029,0.3509116,31.04689241,1745.398368
subImage_3,darkHole,0,1492,0.5516737,0.42166254,0.60353476,0.4447937,148.4442882,1815.188178
subImage_3,darkHole,0,1492,0.85760796,0.5703675,0.8985489,0.5885197,225.6661567,1924.264928
subImage_3,lightHole,0,1492,0.25782716,0.81803447,0.30499402,0.84420377,72.32252158,2112.014864
subImage_3,darkHole,0,1492,0.4013306,0.3268924,0.4396697,0.346283,108.0685371,1743.094422
subImage_3,darkHole,0,1492,0.5621185,0.9152828,0.59613556,0.93503886,148.8356425,2182.169976
subImage_3,lightHole,0,1492,0.10519491,0.42548358,0.14169164,0.44890183,31.72492185,1818.14576
subImage_3,darkHole,0,1492,0.5568611,0.22471341,0.5942717,0.24739863,147.9205676,1668.097793
subImage_3,darkHole,0,1492,0.8517792,0.028744798,0.88705975,0.04644938,223.4408077,1520.047429
subImage_3,darkHole,0,1492,0.5592711,0.17499806,0.59306467,0.20084277,148.0751455,1632.188629
subImage_3,darkHole,0,1492,0.5657676,0.8164412,0.60668004,0.836958,150.6595194,2108.71789
subImage_3,darkHole,0,1492,0.85378826,0.07764169,0.8904824,0.09727195,224.1387827,1557.242787
subImage_3,darkHole,0,1492,0.41052076,0.768307,0.44165432,0.7915854,109.5044986,2073.839849
subImage_3,lightHole,0,1492,0.410967,0.62083024,0.4503947,0.6421684,110.6849762,1963.098493
subImage_3,lightHole,0,1492,0.71161526,0.4733893,0.74665135,0.49697778,187.3872601,1853.946919
subImage_3,lightHole,0,1492,0.25640592,0.6728481,0.29084685,0.69476056,70.32198149,2002.118033
subImage_3,lightHole,0,1492,0.5552121,0.12954423,0.58676946,0.14959939,146.7446282,1596.120569
subImage_3,darkHole,0,1492,0.40425175,0.2767138,0.44736984,0.2995954,109.4333753,1706.963322
subImage_3,darkHole,0,1492,0.55918145,0.32327253,0.59789646,0.34704402,148.6845112,1742.028072
subImage_3,darkHole,0,1492,0.40490767,0.42526108,0.44508734,0.44874388,109.2243597,1818.00385
subImage_3,lightHole,0,1492,0.55755365,0.3738505,0.59463704,0.39529133,148.0565031,1778.8899
subImage_3,darkHole,0,1492,0.71008104,0.6224144,0.74733824,0.64370394,187.278377,1964.262144
subImage_3,darkHole,0,1492,0.4136964,0.86759305,0.4530546,0.8884741,111.3775055,2147.013049
subImage_3,darkHole,0,1492,0.56313694,0.9634791,0.5962452,0.9801021,148.9806081,2216.955796
subImage_3,darkHole,0,1492,0.25124207,0.916375,0.28822103,0.940125,69.32100871,2184.474489
subImage_3,halfHole,0,1492,0.70571285,0.12978849,0.738662,0.15306132,185.6021694,1597.502977
subImage_3,halfHole,0,1492,0.7038625,0.08159891,0.7364004,0.10225197,185.0737844,1560.576377
subImage_3,darkHole,0,1492,0.5638463,0.6670565,0.6024307,0.69231045,149.8665934,1999.043874
subImage_3,darkHole,0,1492,0.561478,0.5218485,0.5989379,0.5431675,149.1134492,1889.250957
subImage_3,halfHole,0,1492,0.7016885,0.03205657,0.7342879,0.0534245,184.5229733,1523.884439
subImage_4,lightHole,0,2238,0.27693105,0.95204324,0.3111937,0.9747409,75.57403064,2956.690491
subImage_4,lightHole,0,2238,0.12670563,0.7058927,0.15931165,0.7280522,36.75322097,2772.861441
subImage_4,lightHole,0,2238,0.27368134,0.75392365,0.30969337,0.77724546,74.96365009,2809.12608
subImage_4,lightHole,0,2238,0.2679267,0.65353954,0.31031418,0.67669296,74.30395198,2734.176723
subImage_4,lightHole,0,2238,0.27184093,0.8521267,0.3106297,0.87792146,74.84747539,2883.307971
subImage_4,lightHole,0,2238,0.11524884,0.508125,0.15014736,0.5302848,34.10341172,2625.326866
